[37m[2021/03/19 18:28:41][CONFIG][initService]  Starting service...
[32m[2021/03/19 21:22:15][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:22:15][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:22:15][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:22:15][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:22:15][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:22:15][INFO][search]  Sanitize input 
[32m[2021/03/19 21:22:15][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.year = 2019 AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 20 
[32m[2021/03/19 21:22:15][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:22:15][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:15][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:15][INFO][buildResponse]  210
[32m[2021/03/19 21:22:15][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:22:15][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt5932728', 'tt5968394', 'tt6198946', 'tt6211976', 'tt6472976', 'tt6491178', 'tt6513120', 'tt6516314', 'tt6610158', 'tt6811018')
ORDER BY FIELD(movie_id, 'tt5932728', 'tt5968394', 'tt6198946', 'tt6211976', 'tt6472976', 'tt6491178', 'tt6513120', 'tt6516314', 'tt6610158', 'tt6811018');
[32m[2021/03/19 21:22:15][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:15][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:15][INFO][buildResponse]  210
[32m[2021/03/19 21:22:23][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 21:22:23][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 21:22:23][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 21:22:23][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 21:22:23][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 21:22:23][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 21:22:23][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@4d00614c, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 21:22:23][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:22:23][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:22:23][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:22:23][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:22:23][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:22:23][INFO][search]  Sanitize input 
[32m[2021/03/19 21:22:23][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.year = 2019 AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 30 
[32m[2021/03/19 21:22:23][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:22:23][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:23][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:23][INFO][buildResponse]  210
[32m[2021/03/19 21:22:24][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:22:24][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt6902696', 'tt7042862', 'tt7043012', 'tt7054636', 'tt7077824', 'tt7167686', 'tt7208564', 'tt7475206', 'tt7476236', 'tt7533152')
ORDER BY FIELD(movie_id, 'tt6902696', 'tt7042862', 'tt7043012', 'tt7054636', 'tt7077824', 'tt7167686', 'tt7208564', 'tt7475206', 'tt7476236', 'tt7533152');
[32m[2021/03/19 21:22:24][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:24][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:24][INFO][buildResponse]  210
[32m[2021/03/19 21:22:31][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 21:22:31][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 21:22:31][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 21:22:31][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 21:22:31][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 21:22:31][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 21:22:31][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@5700b875, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 21:22:31][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:22:31][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:22:31][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:22:31][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:22:31][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:22:31][INFO][search]  Sanitize input 
[32m[2021/03/19 21:22:31][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.year = 2019 AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 20 
[32m[2021/03/19 21:22:31][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:22:31][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:31][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:31][INFO][buildResponse]  210
[32m[2021/03/19 21:22:32][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:22:32][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt5932728', 'tt5968394', 'tt6198946', 'tt6211976', 'tt6472976', 'tt6491178', 'tt6513120', 'tt6516314', 'tt6610158', 'tt6811018')
ORDER BY FIELD(movie_id, 'tt5932728', 'tt5968394', 'tt6198946', 'tt6211976', 'tt6472976', 'tt6491178', 'tt6513120', 'tt6516314', 'tt6610158', 'tt6811018');
[32m[2021/03/19 21:22:32][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:32][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:32][INFO][buildResponse]  210
[32m[2021/03/19 21:22:36][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 21:22:36][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 21:22:36][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 21:22:36][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 21:22:36][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 21:22:36][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 21:22:36][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@9faa0fc, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 21:22:36][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:22:36][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:22:36][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:22:36][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:22:36][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:22:36][INFO][search]  Sanitize input 
[32m[2021/03/19 21:22:36][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.year = 2019 AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 10 
[32m[2021/03/19 21:22:36][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:22:36][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:36][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:36][INFO][buildResponse]  210
[32m[2021/03/19 21:22:37][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:22:37][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt4042818', 'tt4154664', 'tt4154796', 'tt4457344', 'tt4859168', 'tt4913966', 'tt5215088', 'tt5461944', 'tt5719748', 'tt5848416')
ORDER BY FIELD(movie_id, 'tt4042818', 'tt4154664', 'tt4154796', 'tt4457344', 'tt4859168', 'tt4913966', 'tt5215088', 'tt5461944', 'tt5719748', 'tt5848416');
[32m[2021/03/19 21:22:37][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:37][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:37][INFO][buildResponse]  210
[32m[2021/03/19 21:22:43][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 21:22:43][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 21:22:43][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 21:22:43][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 21:22:43][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 21:22:43][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 21:22:43][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@ba622f7, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 21:22:43][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:22:43][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:22:43][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:22:43][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:22:43][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:22:43][INFO][search]  Sanitize input 
[32m[2021/03/19 21:22:43][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.year = 2019 AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 21:22:43][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:22:43][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:43][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:43][INFO][buildResponse]  210
[32m[2021/03/19 21:22:44][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:22:44][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt0437086', 'tt0448115', 'tt10009796', 'tt1488606', 'tt1987680', 'tt2481498', 'tt2677722', 'tt2693580', 'tt3256226', 'tt3513498')
ORDER BY FIELD(movie_id, 'tt0437086', 'tt0448115', 'tt10009796', 'tt1488606', 'tt1987680', 'tt2481498', 'tt2677722', 'tt2693580', 'tt3256226', 'tt3513498');
[32m[2021/03/19 21:22:44][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:44][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:44][INFO][buildResponse]  210
[33m[2021/03/19 21:22:52][WARNING][checkAndAssignParam]  offset is invalid and replace with default 
[32m[2021/03/19 21:22:52][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 21:22:52][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 21:22:52][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 21:22:52][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 21:22:52][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 21:22:52][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 21:22:52][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@3cd6f0af, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 21:22:52][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:22:52][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:22:52][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:22:52][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:22:52][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:22:52][INFO][search]  Sanitize input 
[32m[2021/03/19 21:22:52][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.year = 2019 AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 21:22:52][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:22:52][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:52][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:52][INFO][buildResponse]  210
[32m[2021/03/19 21:22:53][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:22:53][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt0437086', 'tt0448115', 'tt10009796', 'tt1488606', 'tt1987680', 'tt2481498', 'tt2677722', 'tt2693580', 'tt3256226', 'tt3513498')
ORDER BY FIELD(movie_id, 'tt0437086', 'tt0448115', 'tt10009796', 'tt1488606', 'tt1987680', 'tt2481498', 'tt2677722', 'tt2693580', 'tt3256226', 'tt3513498');
[32m[2021/03/19 21:22:53][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:22:53][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:22:53][INFO][buildResponse]  210
[33m[2021/03/19 21:23:01][WARNING][checkAndAssignParam]  offset is invalid and replace with default 
[32m[2021/03/19 21:23:01][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 21:23:01][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 21:23:01][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 21:23:01][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 21:23:01][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 21:23:01][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 21:23:01][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@411996f9, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 21:23:01][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:23:01][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:23:01][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:23:01][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:23:01][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:23:01][INFO][search]  Sanitize input 
[32m[2021/03/19 21:23:01][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.year = 2019 AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 21:23:01][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:23:01][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:23:01][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:23:01][INFO][buildResponse]  210
[32m[2021/03/19 21:23:02][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:23:02][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt0437086', 'tt0448115', 'tt10009796', 'tt1488606', 'tt1987680', 'tt2481498', 'tt2677722', 'tt2693580', 'tt3256226', 'tt3513498')
ORDER BY FIELD(movie_id, 'tt0437086', 'tt0448115', 'tt10009796', 'tt1488606', 'tt1987680', 'tt2481498', 'tt2677722', 'tt2693580', 'tt3256226', 'tt3513498');
[32m[2021/03/19 21:23:02][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:23:02][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:23:02][INFO][buildResponse]  210
[33m[2021/03/19 21:23:06][WARNING][checkAndAssignParam]  offset is invalid and replace with default 
[32m[2021/03/19 21:23:06][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 21:23:06][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 21:23:06][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 21:23:06][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 21:23:06][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 21:23:06][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 21:23:06][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@3faac594, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 21:23:06][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:23:06][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:23:06][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:23:06][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:23:06][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:23:06][INFO][search]  Sanitize input 
[32m[2021/03/19 21:23:06][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.year = 2019 AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 21:23:06][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:23:06][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:23:06][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:23:06][INFO][buildResponse]  210
[32m[2021/03/19 21:23:07][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:23:07][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt0437086', 'tt0448115', 'tt10009796', 'tt1488606', 'tt1987680', 'tt2481498', 'tt2677722', 'tt2693580', 'tt3256226', 'tt3513498')
ORDER BY FIELD(movie_id, 'tt0437086', 'tt0448115', 'tt10009796', 'tt1488606', 'tt1987680', 'tt2481498', 'tt2677722', 'tt2693580', 'tt3256226', 'tt3513498');
[32m[2021/03/19 21:23:07][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:23:07][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:23:07][INFO][buildResponse]  210
[33m[2021/03/19 21:23:38][WARNING][checkAndAssignParam]  offset is invalid and replace with default 
[32m[2021/03/19 21:23:38][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 21:23:38][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 21:23:38][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 21:23:38][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 21:23:38][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 21:23:38][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 21:23:38][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@49a8dd58, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 21:23:38][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:23:38][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:23:38][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:23:38][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:23:38][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:23:38][INFO][search]  Sanitize input 
[32m[2021/03/19 21:23:38][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%qa%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 21:23:38][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:23:38][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:23:38][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:23:38][INFO][buildResponse]  210
[32m[2021/03/19 21:23:39][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:23:39][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt0145937', 'tt0095895', 'tt0085809')
ORDER BY FIELD(movie_id, 'tt0145937', 'tt0095895', 'tt0085809');
[32m[2021/03/19 21:23:39][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:23:39][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:23:39][INFO][buildResponse]  210
[33m[2021/03/19 21:23:43][WARNING][checkAndAssignParam]  offset is invalid and replace with default 
[32m[2021/03/19 21:23:43][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 21:23:43][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 21:23:43][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 21:23:43][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 21:23:43][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 21:23:43][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 21:23:43][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@51e24fe4, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 21:23:43][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 21:23:43][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 21:23:43][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 21:23:43][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 21:23:43][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 21:23:43][INFO][search]  Sanitize input 
[32m[2021/03/19 21:23:43][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%qa%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 21:23:43][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 21:23:43][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:23:43][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:23:43][INFO][buildResponse]  210
[32m[2021/03/19 21:23:43][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 21:23:43][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt0145937', 'tt0095895', 'tt0085809')
ORDER BY FIELD(movie_id, 'tt0145937', 'tt0095895', 'tt0085809');
[32m[2021/03/19 21:23:43][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 21:23:43][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 21:23:43][INFO][buildResponse]  210
